date,blood_type,demand,hospital_license_number,notes
2024-04-30,O-,9,,
2024-04-30,A-,9,,
2024-04-30,B-,6,,
2024-04-30,AB+,6,,
2024-04-30,AB-,2,,
2024-05-01,O+,35,,Public holiday: Workers' Day
2024-05-01,A+,32,,Public holiday: Workers' Day
2024-05-01,B+,21,,Public holiday: Workers' Day
2024-05-01,O-,14,,Public holiday: Workers' Day
2024-05-01,A-,11,,Public holiday: Workers' Day
2024-05-01,B-,5,,Public holiday: Workers' Day
2024-05-01,AB+,5,,Public holiday: Workers' Day
2024-05-01,AB-,3,,Public holiday: Workers' Day
2024-05-02,O+,41,,
2024-05-02,A+,34,,
2024-05-02,B+,16,,
2024-05-02,O-,13,,
2024-05-02,A-,10,,
2024-05-02,B-,7,,
2024-05-02,AB+,5,,
2024-05-02,AB-,2,,
2024-05-03,O+,22,,
2024-05-03,A+,16,,
2024-05-03,B+,14,,
2024-05-03,O-,8,,
2024-05-03,A-,6,,
2024-05-03,B-,4,,
2024-05-03,AB+,3,,
2024-05-03,AB-,1,,
2024-05-04,O+,17,,
2024-05-04,A+,17,,
2024-05-04,B+,11,,
2024-05-04,O-,7,,
2024-05-04,A-,4,,
2024-05-04,B-,4,,
2024-05-04,AB+,4,,
2024-05-04,AB-,0,,
2024-05-05,O+,28,,
2024-05-05,A+,22,,
2024-05-05,B+,6,,
2024-05-05,O-,7,,
2024-05-05,A-,5,,
2024-05-05,B-,5,,
2024-05-05,AB+,3,,
2024-05-05,AB-,1,,
2024-05-06,O+,34,,
2024-05-06,A+,22,,
2024-05-06,B+,14,,
2024-05-06,O-,8,,
2024-05-06,A-,7,,
2024-05-06,B-,5,,
2024-05-06,AB+,4,,
2024-05-06,AB-,1,,
2024-05-07,O+,42,,
2024-05-07,A+,34,,
2024-05-07,B+,22,,
2024-05-07,O-,13,,
2024-05-07,A-,9,,
2024-05-07,B-,7,,
2024-05-07,AB+,5,,
2024-05-07,AB-,1,,
2024-05-08,O+,46,,
2024-05-08,A+,38,,
2024-05-08,B+,23,,
2024-05-08,O-,13,,
2024-05-08,A-,10,,
2024-05-08,B-,7,,
2024-05-08,AB+,5,,
2024-05-08,AB-,2,,
2024-05-09,O+,35,,
2024-05-09,A+,28,,
2024-05-09,B+,20,,
2024-05-09,O-,11,,
2024-05-09,A-,9,,
2024-05-09,B-,7,,
2024-05-09,AB+,4,,
2024-05-09,AB-,2,,
2024-05-10,O+,27,,
2024-05-10,A+,18,,
2024-05-10,B+,13,,
2024-05-10,O-,7,,
2024-05-10,A-,7,,
2024-05-10,B-,3,,
2024-05-10,AB+,4,,
2024-05-10,AB-,2,,
2024-05-11,O+,22,,
2024-05-11,A+,17,,
2024-05-11,B+,11,,
2024-05-11,O-,4,,
2024-05-11,A-,4,,
2024-05-11,B-,3,,
2024-05-11,AB+,3,,
2024-05-11,AB-,1,,
2024-05-12,O+,19,,
2024-05-12,A+,18,,
2024-05-12,B+,10,,
2024-05-12,O-,6,,
2024-05-12,A-,6,,
2024-05-12,B-,3,,
2024-05-12,AB+,4,,
2024-05-12,AB-,2,,
2024-05-13,O+,32,,
2024-05-13,A+,24,,
2024-05-13,B+,12,,
2024-05-13,O-,8,,
2024-05-13,A-,5,,
2024-05-13,B-,7,,
2024-05-13,AB+,2,,
2024-05-13,AB-,1,,
2024-05-14,O+,33,,
2024-05-14,A+,26,,
2024-05-14,B+,15,,
2024-05-14,O-,9,,
2024-05-14,A-,7,,
2024-05-14,B-,4,,
2024-05-14,AB+,4,,
2024-05-14,AB-,1,,
2024-05-15,O+,32,,
2024-05-15,A+,28,,
2024-05-15,B+,15,,
2024-05-15,O-,12,,
2024-05-15,A-,8,,
2024-05-15,B-,6,,
2024-05-15,AB+,3,,
2024-05-15,AB-,2,,
2024-05-16,O+,27,,
2024-05-16,A+,25,,
2024-05-16,B+,15,,
2024-05-16,O-,9,,
2024-05-16,A-,7,,
2024-05-16,B-,4,,
2024-05-16,AB+,5,,
2024-05-16,AB-,2,,
2024-05-17,O+,23,,
2024-05-17,A+,13,,
2024-05-17,B+,8,,
2024-05-17,O-,6,,
2024-05-17,A-,5,,
2024-05-17,B-,4,,
2024-05-17,AB+,2,,
2024-05-17,AB-,2,,
2024-05-18,O+,17,,
2024-05-18,A+,7,,
2024-05-18,B+,7,,
2024-05-18,O-,2,,
2024-05-18,A-,3,,
2024-05-18,B-,2,,
2024-05-18,AB+,1,,
2024-05-18,AB-,0,,
2024-05-19,O+,16,,
2024-05-19,A+,12,,
2024-05-19,B+,11,,
2024-05-19,O-,7,,
2024-05-19,A-,3,,
2024-05-19,B-,4,,
2024-05-19,AB+,0,,
2024-05-19,AB-,0,,
2024-05-20,O+,28,,
2024-05-20,A+,11,,
2024-05-20,B+,12,,
2024-05-20,O-,6,,
2024-05-20,A-,5,,
2024-05-20,B-,3,,
2024-05-20,AB+,4,,
2024-05-20,AB-,0,,
2024-05-21,O+,27,,
2024-05-21,A+,24,,
2024-05-21,B+,12,,
2024-05-21,O-,8,,
2024-05-21,A-,6,,
2024-05-21,B-,4,,
2024-05-21,AB+,4,,
2024-05-21,AB-,0,,
2024-05-22,O+,26,,
2024-05-22,A+,23,,
2024-05-22,B+,13,,
2024-05-22,O-,9,,
2024-05-22,A-,7,,
2024-05-22,B-,4,,
2024-05-22,AB+,3,,
2024-05-22,AB-,2,,
2024-05-23,O+,20,,
2024-05-23,A+,23,,
2024-05-23,B+,12,,
2024-05-23,O-,6,,
2024-05-23,A-,6,,
2024-05-23,B-,4,,
2024-05-23,AB+,4,,
2024-05-23,AB-,2,,
2024-05-24,O+,19,,
2024-05-24,A+,14,,
2024-05-24,B+,9,,
2024-05-24,O-,5,,
2024-05-24,A-,4,,
2024-05-24,B-,4,,
2024-05-24,AB+,2,,
2024-05-24,AB-,0,,
2024-05-25,O+,16,,Public holiday: Africa Day
2024-05-25,A+,16,,Public holiday: Africa Day
2024-05-25,B+,8,,Public holiday: Africa Day
2024-05-25,O-,5,,Public holiday: Africa Day
2024-05-25,A-,4,,Public holiday: Africa Day
2024-05-25,B-,3,,Public holiday: Africa Day
2024-05-25,AB+,1,,Public holiday: Africa Day
2024-05-25,AB-,2,,Public holiday: Africa Day
2024-05-26,O+,22,,
2024-05-26,A+,15,,
2024-05-26,B+,9,,
2024-05-26,O-,7,,
2024-05-26,A-,4,,
2024-05-26,B-,4,,
2024-05-26,AB+,4,,
2024-05-26,AB-,1,,
2024-05-27,O+,25,,
2024-05-27,A+,21,,
2024-05-27,B+,10,,
2024-05-27,O-,6,,
2024-05-27,A-,6,,
2024-05-27,B-,2,,
2024-05-27,AB+,5,,
2024-05-27,AB-,2,,
2024-05-28,O+,30,,
2024-05-28,A+,24,,
2024-05-28,B+,17,,
2024-05-28,O-,8,,
2024-05-28,A-,6,,
2024-05-28,B-,4,,
2024-05-28,AB+,3,,
2024-05-28,AB-,0,,
2024-05-29,O+,32,,
2024-05-29,A+,26,,
2024-05-29,B+,14,,
2024-05-29,O-,12,,
2024-05-29,A-,6,,
2024-05-29,B-,4,,
2024-05-29,AB+,4,,
2024-05-29,AB-,1,,
2024-05-30,O+,31,,
2024-05-30,A+,21,,
2024-05-30,B+,12,,
2024-05-30,O-,8,,
2024-05-30,A-,6,,
2024-05-30,B-,5,,
2024-05-30,AB+,3,,
2024-05-30,AB-,2,,
2024-05-31,O+,25,,
2024-05-31,A+,22,,
2024-05-31,B+,13,,
2024-05-31,O-,8,,
2024-05-31,A-,6,,
2024-05-31,B-,3,,
2024-05-31,AB+,3,,
2024-05-31,AB-,0,,
2024-06-01,O+,20,,
2024-06-01,A+,13,,
2024-06-01,B+,10,,
2024-06-01,O-,7,,
2024-06-01,A-,3,,
2024-06-01,B-,2,,
2024-06-01,AB+,2,,
2024-06-01,AB-,0,,
2024-06-02,O+,22,,
2024-06-02,A+,13,,
2024-06-02,B+,10,,
2024-06-02,O-,5,,
2024-06-02,A-,3,,
2024-06-02,B-,4,,
2024-06-02,AB+,1,,
2024-06-02,AB-,0,,
2024-06-03,O+,23,,
2024-06-03,A+,18,,
2024-06-03,B+,13,,
2024-06-03,O-,9,,
2024-06-03,A-,8,,
2024-06-03,B-,5,,
2024-06-03,AB+,3,,
2024-06-03,AB-,2,,
2024-06-04,O+,41,,
2024-06-04,A+,30,,
2024-06-04,B+,17,,
2024-06-04,O-,13,,
2024-06-04,A-,10,,
2024-06-04,B-,6,,
2024-06-04,AB+,6,,
2024-06-04,AB-,2,,
2024-06-05,O+,42,,
2024-06-05,A+,27,,
2024-06-05,B+,16,,
2024-06-05,O-,12,,
2024-06-05,A-,8,,
2024-06-05,B-,6,,
2024-06-05,AB+,5,,
2024-06-05,AB-,1,,
2024-06-06,O+,36,,
2024-06-06,A+,23,,
2024-06-06,B+,15,,
2024-06-06,O-,12,,
2024-06-06,A-,8,,
2024-06-06,B-,6,,
2024-06-06,AB+,6,,
2024-06-06,AB-,3,,
2024-06-07,O+,23,,
2024-06-07,A+,25,,
2024-06-07,B+,12,,
2024-06-07,O-,8,,
2024-06-07,A-,6,,
2024-06-07,B-,5,,
2024-06-07,AB+,2,,
2024-06-07,AB-,2,,
2024-06-08,O+,24,,
2024-06-08,A+,20,,
2024-06-08,B+,10,,
2024-06-08,O-,8,,
2024-06-08,A-,4,,
2024-06-08,B-,5,,
2024-06-08,AB+,3,,
2024-06-08,AB-,0,,
2024-06-09,O+,25,,
2024-06-09,A+,19,,
2024-06-09,B+,10,,
2024-06-09,O-,6,,
2024-06-09,A-,5,,
2024-06-09,B-,2,,
2024-06-09,AB+,4,,
2024-06-09,AB-,0,,
2024-06-10,O+,27,,
2024-06-10,A+,27,,
2024-06-10,B+,15,,
2024-06-10,O-,10,,
2024-06-10,A-,9,,
2024-06-10,B-,4,,
2024-06-10,AB+,3,,
2024-06-10,AB-,2,,
2024-06-11,O+,39,,
2024-06-11,A+,28,,
2024-06-11,B+,15,,
2024-06-11,O-,13,,
2024-06-11,A-,9,,
2024-06-11,B-,4,,
2024-06-11,AB+,5,,
2024-06-11,AB-,0,,
2024-06-12,O+,35,,
2024-06-12,A+,26,,
2024-06-12,B+,16,,
2024-06-12,O-,11,,
2024-06-12,A-,8,,
2024-06-12,B-,7,,
2024-06-12,AB+,5,,
2024-06-12,AB-,2,,
2024-06-13,O+,36,,
2024-06-13,A+,24,,
2024-06-13,B+,15,,
2024-06-13,O-,11,,
2024-06-13,A-,9,,
2024-06-13,B-,6,,
2024-06-13,AB+,5,,
2024-06-13,AB-,2,,
2024-06-14,O+,27,,
2024-06-14,A+,13,,
2024-06-14,B+,13,,
2024-06-14,O-,8,,
2024-06-14,A-,6,,
2024-06-14,B-,3,,
2024-06-14,AB+,2,,
2024-06-14,AB-,1,,
2024-06-15,O+,22,,
2024-06-15,A+,10,,
2024-06-15,B+,9,,
2024-06-15,O-,5,,
2024-06-15,A-,3,,
2024-06-15,B-,3,,
2024-06-15,AB+,2,,
2024-06-15,AB-,0,,
2024-06-16,O+,16,,
2024-06-16,A+,16,,
2024-06-16,B+,9,,
2024-06-16,O-,5,,
2024-06-16,A-,4,,
2024-06-16,B-,3,,
2024-06-16,AB+,3,,
2024-06-16,AB-,0,,
2024-06-17,O+,26,,
2024-06-17,A+,16,,
2024-06-17,B+,17,,
2024-06-17,O-,6,,
2024-06-17,A-,5,,
2024-06-17,B-,4,,
2024-06-17,AB+,2,,
2024-06-17,AB-,2,,
2024-06-18,O+,36,,
2024-06-18,A+,21,,
2024-06-18,B+,14,,
2024-06-18,O-,8,,
2024-06-18,A-,7,,
2024-06-18,B-,6,,
2024-06-18,AB+,4,,
2024-06-18,AB-,0,,
2024-06-19,O+,35,,
2024-06-19,A+,27,,
2024-06-19,B+,15,,
2024-06-19,O-,8,,
2024-06-19,A-,7,,
2024-06-19,B-,4,,
2024-06-19,AB+,4,,
2024-06-19,AB-,1,,
2024-06-20,O+,15,,
2024-06-20,A+,22,,
2024-06-20,B+,12,,
2024-06-20,O-,9,,
2024-06-20,A-,6,,
2024-06-20,B-,4,,
2024-06-20,AB+,4,,
2024-06-20,AB-,1,,
2024-06-21,O+,20,,
2024-06-21,A+,25,,
2024-06-21,B+,8,,
2024-06-21,O-,6,,
2024-06-21,A-,6,,
2024-06-21,B-,2,,
2024-06-21,AB+,1,,
2024-06-21,AB-,0,,
2024-06-22,O+,17,,
2024-06-22,A+,14,,
2024-06-22,B+,8,,
2024-06-22,O-,3,,
2024-06-22,A-,5,,
2024-06-22,B-,4,,
2024-06-22,AB+,2,,
2024-06-22,AB-,1,,
2024-06-23,O+,19,,
2024-06-23,A+,14,,
2024-06-23,B+,9,,
2024-06-23,O-,4,,
2024-06-23,A-,4,,
2024-06-23,B-,1,,
2024-06-23,AB+,3,,
2024-06-23,AB-,1,,
2024-06-24,O+,20,,
2024-06-24,A+,18,,
2024-06-24,B+,7,,
2024-06-24,O-,8,,
2024-06-24,A-,5,,
2024-06-24,B-,3,,
2024-06-24,AB+,4,,
2024-06-24,AB-,0,,
2024-06-25,O+,31,,
2024-06-25,A+,21,,
2024-06-25,B+,13,,
2024-06-25,O-,9,,
2024-06-25,A-,5,,
2024-06-25,B-,5,,
2024-06-25,AB+,3,,
2024-06-25,AB-,2,,
2024-06-26,O+,27,,
2024-06-26,A+,21,,
2024-06-26,B+,14,,
2024-06-26,O-,9,,
2024-06-26,A-,6,,
2024-06-26,B-,4,,
2024-06-26,AB+,5,,
2024-06-26,AB-,1,,
2024-06-27,O+,22,,
2024-06-27,A+,22,,
2024-06-27,B+,8,,
2024-06-27,O-,5,,
2024-06-27,A-,6,,
2024-06-27,B-,4,,
2024-06-27,AB+,3,,
2024-06-27,AB-,0,,
2024-06-28,O+,19,,
2024-06-28,A+,11,,
2024-06-28,B+,10,,
2024-06-28,O-,4,,
2024-06-28,A-,5,,
2024-06-28,B-,3,,
2024-06-28,AB+,1,,
2024-06-28,AB-,0,,
2024-06-29,O+,20,,
2024-06-29,A+,18,,
2024-06-29,B+,5,,
2024-06-29,O-,6,,
2024-06-29,A-,3,,
2024-06-29,B-,1,,
2024-06-29,AB+,4,,
2024-06-29,AB-,1,,
2024-06-30,O+,16,,
2024-06-30,A+,16,,
2024-06-30,B+,10,,
2024-06-30,O-,6,,
2024-06-30,A-,7,,
2024-06-30,B-,4,,
2024-06-30,AB+,0,,
2024-06-30,AB-,0,,
2024-07-01,O+,23,,
2024-07-01,A+,20,,
2024-07-01,B+,12,,
2024-07-01,O-,7,,
2024-07-01,A-,5,,
2024-07-01,B-,6,,
2024-07-01,AB+,4,,
2024-07-01,AB-,0,,
2024-07-02,O+,36,,
2024-07-02,A+,29,,
2024-07-02,B+,18,,
2024-07-02,O-,9,,
2024-07-02,A-,9,,
2024-07-02,B-,5,,
2024-07-02,AB+,5,,
2024-07-02,AB-,1,,
2024-07-03,O+,26,,
2024-07-03,A+,29,,
2024-07-03,B+,14,,
2024-07-03,O-,11,,
2024-07-03,A-,8,,
2024-07-03,B-,5,,
2024-07-03,AB+,3,,
2024-07-03,AB-,0,,
2024-07-04,O+,28,,
2024-07-04,A+,25,,
2024-07-04,B+,18,,
2024-07-04,O-,11,,
2024-07-04,A-,7,,
2024-07-04,B-,6,,
2024-07-04,AB+,2,,
2024-07-04,AB-,2,,
2024-07-05,O+,24,,
2024-07-05,A+,21,,
2024-07-05,B+,13,,
2024-07-05,O-,7,,
2024-07-05,A-,7,,
2024-07-05,B-,4,,
2024-07-05,AB+,5,,
2024-07-05,AB-,1,,
2024-07-06,O+,26,,
2024-07-06,A+,19,,
2024-07-06,B+,8,,
2024-07-06,O-,8,,
2024-07-06,A-,4,,
2024-07-06,B-,1,,
2024-07-06,AB+,3,,
2024-07-06,AB-,2,,
2024-07-07,O+,23,,
2024-07-07,A+,17,,
2024-07-07,B+,14,,
2024-07-07,O-,8,,
2024-07-07,A-,5,,
2024-07-07,B-,4,,
2024-07-07,AB+,1,,
2024-07-07,AB-,0,,
2024-07-08,O+,25,,
2024-07-08,A+,16,,
2024-07-08,B+,12,,
2024-07-08,O-,11,,
2024-07-08,A-,6,,
2024-07-08,B-,4,,
2024-07-08,AB+,2,,
2024-07-08,AB-,2,,
2024-07-09,O+,36,,
2024-07-09,A+,30,,
2024-07-09,B+,17,,
2024-07-09,O-,10,,
2024-07-09,A-,8,,
2024-07-09,B-,7,,
2024-07-09,AB+,4,,
2024-07-09,AB-,2,,
2024-07-10,O+,24,,
2024-07-10,A+,33,,
2024-07-10,B+,17,,
2024-07-10,O-,15,,
2024-07-10,A-,8,,
2024-07-10,B-,6,,
2024-07-10,AB+,5,,
2024-07-10,AB-,1,,
2024-07-11,O+,35,,
2024-07-11,A+,23,,
2024-07-11,B+,18,,
2024-07-11,O-,11,,
2024-07-11,A-,8,,
2024-07-11,B-,4,,
2024-07-11,AB+,4,,
2024-07-11,AB-,2,,
2024-07-12,O+,16,,
2024-07-12,A+,17,,
2024-07-12,B+,13,,
2024-07-12,O-,6,,
2024-07-12,A-,7,,
2024-07-12,B-,3,,
2024-07-12,AB+,3,,
2024-07-12,AB-,0,,
2024-07-13,O+,21,,
2024-07-13,A+,17,,
2024-07-13,B+,11,,
2024-07-13,O-,8,,
2024-07-13,A-,6,,
2024-07-13,B-,3,,
2024-07-13,AB+,1,,
2024-07-13,AB-,2,,
2024-07-14,O+,14,,
2024-07-14,A+,14,,
2024-07-14,B+,11,,
2024-07-14,O-,7,,
2024-07-14,A-,6,,
2024-07-14,B-,3,,
2024-07-14,AB+,1,,
2024-07-14,AB-,1,,
2024-07-15,O+,25,,
2024-07-15,A+,19,,
2024-07-15,B+,15,,
2024-07-15,O-,8,,
2024-07-15,A-,5,,
2024-07-15,B-,4,,
2024-07-15,AB+,2,,
2024-07-15,AB-,3,,
2024-07-16,O+,33,,
2024-07-16,A+,21,,
2024-07-16,B+,18,,
2024-07-16,O-,13,,
2024-07-16,A-,6,,
2024-07-16,B-,6,,
2024-07-16,AB+,4,,
2024-07-16,AB-,1,,
2024-07-17,O+,37,,Public holiday: King's Birthday
2024-07-17,A+,30,,Public holiday: King's Birthday
2024-07-17,B+,16,,Public holiday: King's Birthday
2024-07-17,O-,13,,Public holiday: King's Birthday
2024-07-17,A-,7,,Public holiday: King's Birthday
2024-07-17,B-,8,,Public holiday: King's Birthday
2024-07-17,AB+,6,,Public holiday: King's Birthday
2024-07-17,AB-,0,,Public holiday: King's Birthday
2024-07-18,O+,27,,
2024-07-18,A+,26,,
2024-07-18,B+,12,,
2024-07-18,O-,8,,
2024-07-18,A-,6,,
2024-07-18,B-,5,,
2024-07-18,AB+,3,,
2024-07-18,AB-,1,,
2024-07-19,O+,21,,
2024-07-19,A+,14,,
2024-07-19,B+,7,,
2024-07-19,O-,4,,
2024-07-19,A-,3,,
2024-07-19,B-,2,,
2024-07-19,AB+,1,,
2024-07-19,AB-,0,,
2024-07-20,O+,16,,
2024-07-20,A+,12,,
2024-07-20,B+,5,,
2024-07-20,O-,3,,
2024-07-20,A-,3,,
2024-07-20,B-,1,,
2024-07-20,AB+,1,,
2024-07-20,AB-,1,,
2024-07-21,O+,10,,
2024-07-21,A+,12,,
2024-07-21,B+,6,,
2024-07-21,O-,8,,
2024-07-21,A-,2,,
2024-07-21,B-,3,,
2024-07-21,AB+,2,,
2024-07-21,AB-,0,,
2024-07-22,O+,21,,
2024-07-22,A+,16,,
2024-07-22,B+,8,,
2024-07-22,O-,7,,
2024-07-22,A-,5,,
2024-07-22,B-,5,,
2024-07-22,AB+,2,,
2024-07-22,AB-,2,,
2024-07-23,O+,24,,
2024-07-23,A+,13,,
2024-07-23,B+,13,,
2024-07-23,O-,8,,
2024-07-23,A-,5,,
2024-07-23,B-,5,,
2024-07-23,AB+,2,,
2024-07-23,AB-,2,,
2024-07-24,O+,25,,
2024-07-24,A+,23,,
2024-07-24,B+,14,,
2024-07-24,O-,9,,
2024-07-24,A-,5,,
2024-07-24,B-,5,,
2024-07-24,AB+,3,,
2024-07-24,AB-,3,,
2024-07-25,O+,25,,
2024-07-25,A+,21,,
2024-07-25,B+,10,,
2024-07-25,O-,7,,
2024-07-25,A-,6,,
2024-07-25,B-,2,,
2024-07-25,AB+,2,,
2024-07-25,AB-,1,,
2024-07-26,O+,18,,
2024-07-26,A+,15,,
2024-07-26,B+,11,,
2024-07-26,O-,5,,
2024-07-26,A-,5,,
2024-07-26,B-,3,,
2024-07-26,AB+,2,,
2024-07-26,AB-,1,,
2024-07-27,O+,7,,
2024-07-27,A+,12,,
2024-07-27,B+,6,,
2024-07-27,O-,4,,
2024-07-27,A-,2,,
2024-07-27,B-,2,,
2024-07-27,AB+,0,,
2024-07-27,AB-,1,,
2024-07-28,O+,16,,
2024-07-28,A+,8,,
2024-07-28,B+,7,,
2024-07-28,O-,6,,
2024-07-28,A-,3,,
2024-07-28,B-,2,,
2024-07-28,AB+,2,,
2024-07-28,AB-,1,,
2024-07-29,O+,16,,
2024-07-29,A+,18,,
2024-07-29,B+,10,,
2024-07-29,O-,11,,
2024-07-29,A-,5,,
2024-07-29,B-,3,,
2024-07-29,AB+,4,,
2024-07-29,AB-,1,,
2024-07-30,O+,30,,
2024-07-30,A+,20,,
2024-07-30,B+,17,,
2024-07-30,O-,9,,
2024-07-30,A-,7,,
2024-07-30,B-,6,,
2024-07-30,AB+,3,,
2024-07-30,AB-,1,,
2024-07-31,O+,34,,
2024-07-31,A+,27,,
2024-07-31,B+,13,,
2024-07-31,O-,10,,
2024-07-31,A-,7,,
2024-07-31,B-,4,,
2024-07-31,AB+,3,,
2024-07-31,AB-,2,,
2024-08-01,O+,34,,
2024-08-01,A+,31,,
2024-08-01,B+,13,,
2024-08-01,O-,8,,
2024-08-01,A-,6,,
2024-08-01,B-,6,,
2024-08-01,AB+,2,,
2024-08-01,AB-,1,,
2024-08-02,O+,20,,
2024-08-02,A+,23,,
2024-08-02,B+,9,,
2024-08-02,O-,9,,
2024-08-02,A-,7,,
2024-08-02,B-,3,,
2024-08-02,AB+,3,,
2024-08-02,AB-,0,,
2024-08-03,O+,18,,
2024-08-03,A+,14,,
2024-08-03,B+,4,,
2024-08-03,O-,7,,
2024-08-03,A-,5,,
2024-08-03,B-,1,,
2024-08-03,AB+,1,,
2024-08-03,AB-,0,,
2024-08-04,O+,19,,
2024-08-04,A+,16,,
2024-08-04,B+,8,,
2024-08-04,O-,5,,
2024-08-04,A-,5,,
2024-08-04,B-,3,,
2024-08-04,AB+,2,,
2024-08-04,AB-,1,,
2024-08-05,O+,29,,
2024-08-05,A+,22,,
2024-08-05,B+,15,,
2024-08-05,O-,9,,
2024-08-05,A-,7,,
2024-08-05,B-,6,,
2024-08-05,AB+,2,,
2024-08-05,AB-,2,,
2024-08-06,O+,42,,
2024-08-06,A+,24,,
2024-08-06,B+,16,,
2024-08-06,O-,11,,
2024-08-06,A-,9,,
2024-08-06,B-,6,,
2024-08-06,AB+,3,,
2024-08-06,AB-,3,,
2024-08-07,O+,33,,
2024-08-07,A+,29,,
2024-08-07,B+,19,,
2024-08-07,O-,14,,
2024-08-07,A-,8,,
2024-08-07,B-,7,,
2024-08-07,AB+,5,,
2024-08-07,AB-,0,,
2024-08-08,O+,28,,
2024-08-08,A+,21,,
2024-08-08,B+,14,,
2024-08-08,O-,10,,
2024-08-08,A-,8,,
2024-08-08,B-,6,,
2024-08-08,AB+,4,,
2024-08-08,AB-,4,,
2024-08-09,O+,23,,
2024-08-09,A+,22,,
2024-08-09,B+,12,,
2024-08-09,O-,10,,
2024-08-09,A-,5,,
2024-08-09,B-,5,,
2024-08-09,AB+,5,,
2024-08-09,AB-,0,,
2024-08-10,O+,19,,
2024-08-10,A+,17,,
2024-08-10,B+,9,,
2024-08-10,O-,5,,
2024-08-10,A-,7,,
2024-08-10,B-,3,,
2024-08-10,AB+,4,,
2024-08-10,AB-,0,,
2024-08-11,O+,20,,
2024-08-11,A+,19,,
2024-08-11,B+,10,,
2024-08-11,O-,5,,
2024-08-11,A-,4,,
2024-08-11,B-,4,,
2024-08-11,AB+,2,,
2024-08-11,AB-,1,,
2024-08-12,O+,17,,
2024-08-12,A+,19,,
2024-08-12,B+,12,,
2024-08-12,O-,8,,
2024-08-12,A-,5,,
2024-08-12,B-,3,,
2024-08-12,AB+,3,,
2024-08-12,AB-,3,,
2024-08-13,O+,26,,
2024-08-13,A+,24,,
2024-08-13,B+,17,,
2024-08-13,O-,11,,
2024-08-13,A-,7,,
2024-08-13,B-,5,,
2024-08-13,AB+,4,,
2024-08-13,AB-,1,,
2024-08-14,O+,23,,
2024-08-14,A+,23,,
2024-08-14,B+,12,,
2024-08-14,O-,12,,
2024-08-14,A-,8,,
2024-08-14,B-,4,,
2024-08-14,AB+,5,,
2024-08-14,AB-,4,,
2024-08-15,O+,24,,
2024-08-15,A+,26,,
2024-08-15,B+,14,,
2024-08-15,O-,8,,
2024-08-15,A-,5,,
2024-08-15,B-,4,,
2024-08-15,AB+,3,,
2024-08-15,AB-,0,,
2024-08-16,O+,22,,
2024-08-16,A+,15,,
2024-08-16,B+,10,,
2024-08-16,O-,6,,
2024-08-16,A-,8,,
2024-08-16,B-,2,,
2024-08-16,AB+,1,,
2024-08-16,AB-,2,,
2024-08-17,O+,25,,
2024-08-17,A+,9,,
2024-08-17,B+,11,,
2024-08-17,O-,4,,
2024-08-17,A-,5,,
2024-08-17,B-,3,,
2024-08-17,AB+,4,,
2024-08-17,AB-,2,,
2024-08-18,O+,14,,
2024-08-18,A+,22,,
2024-08-18,B+,6,,
2024-08-18,O-,5,,
2024-08-18,A-,6,,
2024-08-18,B-,2,,
2024-08-18,AB+,1,,
2024-08-18,AB-,1,,
2024-08-19,O+,22,,
2024-08-19,A+,18,,
2024-08-19,B+,8,,
2024-08-19,O-,7,,
2024-08-19,A-,6,,
2024-08-19,B-,5,,
2024-08-19,AB+,3,,
2024-08-19,AB-,0,,
2024-08-20,O+,25,,
2024-08-20,A+,18,,
2024-08-20,B+,14,,
2024-08-20,O-,6,,
2024-08-20,A-,6,,
2024-08-20,B-,3,,
2024-08-20,AB+,4,,
2024-08-20,AB-,2,,
2024-08-21,O+,26,,
2024-08-21,A+,22,,
2024-08-21,B+,11,,
2024-08-21,O-,9,,
2024-08-21,A-,6,,
2024-08-21,B-,5,,
2024-08-21,AB+,3,,
2024-08-21,AB-,0,,
2024-08-22,O+,20,,
2024-08-22,A+,22,,
2024-08-22,B+,13,,
2024-08-22,O-,7,,
2024-08-22,A-,5,,
2024-08-22,B-,3,,
2024-08-22,AB+,3,,
2024-08-22,AB-,1,,
2024-08-23,O+,13,,
2024-08-23,A+,15,,
2024-08-23,B+,10,,
2024-08-23,O-,4,,
2024-08-23,A-,4,,
2024-08-23,B-,3,,
2024-08-23,AB+,3,,
2024-08-23,AB-,0,,
2024-08-24,O+,12,,
2024-08-24,A+,9,,
2024-08-24,B+,7,,
2024-08-24,O-,5,,
2024-08-24,A-,3,,
2024-08-24,B-,1,,
2024-08-24,AB+,1,,
2024-08-24,AB-,1,,
2024-08-25,O+,10,,
2024-08-25,A+,13,,
2024-08-25,B+,6,,
2024-08-25,O-,4,,
2024-08-25,A-,4,,
2024-08-25,B-,4,,
2024-08-25,AB+,2,,
2024-08-25,AB-,0,,
2024-08-26,O+,14,,
2024-08-26,A+,18,,
2024-08-26,B+,12,,
2024-08-26,O-,7,,
2024-08-26,A-,6,,
2024-08-26,B-,4,,
2024-08-26,AB+,1,,
2024-08-26,AB-,1,,
2024-08-27,O+,27,,
2024-08-27,A+,23,,
2024-08-27,B+,11,,
2024-08-27,O-,8,,
2024-08-27,A-,6,,
2024-08-27,B-,5,,
2024-08-27,AB+,4,,
2024-08-27,AB-,2,,
2024-08-28,O+,29,,
2024-08-28,A+,19,,
2024-08-28,B+,11,,
2024-08-28,O-,9,,
